seed,mode,scenario,requests,success_rate,user_facing_connect_failures,primary_connect_attempts,backup_selections,preemptive_failovers,warm_hits,recovery_probes_ok,recovery_probes_fail,background_prewarm_connects,physical_connects,mean_checkout_latency_sim_ms
1,reactive,morning-healthy,100,0.9900,30,71,28,0,0,0,0,0,99,23.750
1,reactive,bad-window,100,1.0000,86,14,86,0,0,0,0,0,100,20.700
1,reactive,evening-stable,80,0.9875,15,66,13,0,0,0,0,0,79,24.375
1,reactive,window-start,181,0.9945,1,65,115,0,0,0,0,0,180,21.906
1,reactive,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
1,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
1,reactive,pattern-shift-h14,90,0.9889,12,79,10,0,0,0,0,0,89,24.611
1,reactive,pattern-shift-h15,90,1.0000,79,11,79,0,0,0,0,0,90,20.611
1,circuit_breaker,morning-healthy,100,0.9900,5,8,92,0,0,0,0,0,99,20.600
1,circuit_breaker,bad-window,100,0.9800,4,0,100,0,0,0,0,0,98,20.400
1,circuit_breaker,evening-stable,80,1.0000,5,16,64,0,0,0,0,0,80,21.000
1,circuit_breaker,window-start,181,1.0000,0,0,181,0,0,0,0,0,181,20.000
1,circuit_breaker,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
1,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
1,circuit_breaker,pattern-shift-h14,90,0.9889,5,16,74,0,0,0,0,0,89,21.111
1,circuit_breaker,pattern-shift-h15,90,1.0000,2,0,90,0,0,0,0,0,90,20.000
1,predictive,morning-healthy,100,1.0000,3,9,91,88,88,1,2,87,12,2.850
1,predictive,bad-window,100,1.0000,1,0,100,99,99,1,3,98,1,0.200
1,predictive,evening-stable,80,1.0000,2,17,63,61,61,1,2,61,19,5.813
1,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
1,predictive,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
1,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
1,predictive,pattern-shift-h14,90,1.0000,3,28,62,59,59,3,0,58,31,8.444
1,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
2,reactive,morning-healthy,100,1.0000,23,77,23,0,0,0,0,0,100,23.850
2,reactive,bad-window,100,1.0000,83,17,83,0,0,0,0,0,100,20.850
2,reactive,evening-stable,80,1.0000,12,68,12,0,0,0,0,0,80,24.250
2,reactive,window-start,181,0.9834,1,71,107,0,0,0,0,0,178,22.293
2,reactive,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
2,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
2,reactive,pattern-shift-h14,90,1.0000,10,80,10,0,0,0,0,0,90,24.444
2,reactive,pattern-shift-h15,90,0.9778,79,13,75,0,0,0,0,0,88,21.167
2,circuit_breaker,morning-healthy,100,1.0000,4,0,100,0,0,0,0,0,100,20.000
2,circuit_breaker,bad-window,100,0.9800,4,0,100,0,0,0,0,0,98,20.400
2,circuit_breaker,evening-stable,80,0.9875,5,21,59,0,0,0,0,0,79,21.563
2,circuit_breaker,window-start,181,1.0000,0,0,181,0,0,0,0,0,181,20.000
2,circuit_breaker,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
2,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
2,circuit_breaker,pattern-shift-h14,90,0.9889,5,53,37,0,0,0,0,0,89,23.167
2,circuit_breaker,pattern-shift-h15,90,0.9778,4,0,90,0,0,0,0,0,88,20.444
2,predictive,morning-healthy,100,1.0000,2,8,92,90,90,2,2,90,10,2.400
2,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,98,1,0.200
2,predictive,evening-stable,80,1.0000,7,39,41,34,34,1,2,34,46,13.938
2,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
2,predictive,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
2,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
2,predictive,pattern-shift-h14,90,1.0000,2,11,79,77,77,2,1,76,13,3.500
2,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
3,reactive,morning-healthy,100,1.0000,11,89,11,0,0,0,0,0,100,24.450
3,reactive,bad-window,100,0.9700,87,16,81,0,0,0,0,0,97,21.400
3,reactive,evening-stable,80,1.0000,12,68,12,0,0,0,0,0,80,24.250
3,reactive,window-start,181,0.9890,2,73,106,0,0,0,0,0,179,22.238
3,reactive,reuse-off,1000,1.0000,14,986,14,0,0,0,0,0,1000,20.000
3,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
3,reactive,pattern-shift-h14,90,1.0000,19,71,19,0,0,0,0,0,90,23.944
3,reactive,pattern-shift-h15,90,0.9889,79,12,77,0,0,0,0,0,89,20.889
3,circuit_breaker,morning-healthy,100,0.9800,8,12,88,0,0,0,0,0,98,21.000
3,circuit_breaker,bad-window,100,0.9700,5,0,100,0,0,0,0,0,97,20.600
3,circuit_breaker,evening-stable,80,1.0000,5,75,5,0,0,0,0,0,80,24.688
3,circuit_breaker,window-start,181,0.9945,1,36,145,0,0,0,0,0,180,21.105
3,circuit_breaker,reuse-off,1000,1.0000,14,986,14,0,0,0,0,0,1000,20.000
3,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
3,circuit_breaker,pattern-shift-h14,90,0.9889,5,3,87,0,0,0,0,0,89,20.389
3,circuit_breaker,pattern-shift-h15,90,1.0000,4,1,89,0,0,0,0,0,90,20.056
3,predictive,morning-healthy,100,1.0000,3,20,80,77,77,1,2,76,23,5.600
3,predictive,bad-window,100,1.0000,0,0,100,100,100,0,4,98,0,0.000
3,predictive,evening-stable,80,1.0000,2,11,69,67,67,1,2,68,13,3.938
3,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
3,predictive,reuse-off,1000,1.0000,14,986,14,0,0,0,0,0,1000,20.000
3,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
3,predictive,pattern-shift-h14,90,1.0000,2,3,87,85,85,2,1,84,5,1.278
3,predictive,pattern-shift-h15,90,1.0000,2,3,87,85,85,1,2,85,5,1.278
4,reactive,morning-healthy,100,1.0000,12,88,12,0,0,0,0,0,100,24.400
4,reactive,bad-window,100,0.9800,93,9,89,0,0,0,0,0,98,20.850
4,reactive,evening-stable,80,0.9875,27,54,25,0,0,0,0,0,79,23.625
4,reactive,window-start,181,0.9945,1,81,99,0,0,0,0,0,180,22.348
4,reactive,reuse-off,1000,1.0000,6,994,6,0,0,0,0,0,1000,20.000
4,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
4,reactive,pattern-shift-h14,90,1.0000,9,81,9,0,0,0,0,0,90,24.500
4,reactive,pattern-shift-h15,90,0.9889,79,12,77,0,0,0,0,0,89,20.889
4,circuit_breaker,morning-healthy,100,0.9800,6,6,94,0,0,0,0,0,98,20.700
4,circuit_breaker,bad-window,100,0.9800,4,0,100,0,0,0,0,0,98,20.400
4,circuit_breaker,evening-stable,80,1.0000,3,77,3,0,0,0,0,0,80,24.813
4,circuit_breaker,window-start,181,1.0000,0,24,157,0,0,0,0,0,181,20.663
4,circuit_breaker,reuse-off,1000,1.0000,6,994,6,0,0,0,0,0,1000,20.000
4,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
4,circuit_breaker,pattern-shift-h14,90,0.9889,9,68,22,0,0,0,0,0,89,24.000
4,circuit_breaker,pattern-shift-h15,90,0.9889,3,0,90,0,0,0,0,0,89,20.222
4,predictive,morning-healthy,100,1.0000,2,10,90,88,88,1,2,87,12,2.900
4,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,99,1,0.200
4,predictive,evening-stable,80,1.0000,2,78,2,0,0,1,0,1,80,24.875
4,predictive,window-start,181,1.0000,0,55,126,122,122,0,0,121,59,8.039
4,predictive,reuse-off,1000,1.0000,6,994,6,0,0,0,0,0,1000,20.000
4,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
4,predictive,pattern-shift-h14,90,1.0000,0,0,90,90,90,1,2,90,0,0.000
4,predictive,pattern-shift-h15,90,1.0000,1,0,90,89,89,0,3,89,1,0.222
5,reactive,morning-healthy,100,0.9900,17,84,15,0,0,0,0,0,99,24.400
